time,y_true,y_pred
2025-07-27 11:05:00,86.88,88.32
2025-07-27 11:10:00,88.44,86.28
2025-07-27 11:15:00,85.92,87.36
2025-07-27 11:20:00,86.52,83.88
2025-07-27 11:25:00,85.8,91.68
2025-07-27 11:30:00,88.08,84.0
2025-07-27 11:35:00,86.52,87.48
2025-07-27 11:40:00,88.08,85.44
2025-07-27 11:45:00,87.0,88.68
2025-07-27 11:50:00,89.52,87.12
2025-07-27 11:55:00,84.72,85.8
2025-07-27 12:00:00,91.32,90.0
2025-07-27 12:05:00,85.8,85.32
2025-07-27 12:10:00,88.8,89.04
2025-07-27 12:15:00,88.68,90.48
2025-07-27 12:20:00,86.4,88.32
2025-07-27 12:25:00,90.6,85.2
2025-07-27 12:30:00,86.76,89.04
2025-07-27 12:35:00,89.4,87.84
2025-07-27 12:40:00,86.52,87.84
2025-07-27 12:45:00,90.12,87.24
2025-07-27 12:50:00,86.52,89.88
2025-07-27 12:55:00,87.48,87.96
2025-07-27 13:00:00,87.84,88.44
2025-07-27 13:05:00,86.76,92.28
2025-07-27 13:10:00,89.52,88.68
2025-07-27 13:15:00,86.04,89.52
2025-07-27 13:20:00,91.56,89.88
2025-07-27 13:25:00,87.84,90.84
2025-07-27 13:30:00,89.88,86.28
2025-07-27 13:35:00,87.48,90.12
2025-07-27 13:40:00,87.24,87.36
2025-07-27 13:45:00,84.72,90.12
2025-07-27 13:50:00,90.24,88.92
2025-07-27 13:55:00,88.44,86.16
2025-07-27 14:00:00,85.08,90.72
2025-07-27 14:05:00,90.36,87.12
2025-07-27 14:10:00,86.4,89.16
2025-07-27 14:15:00,89.4,86.52
2025-07-27 14:20:00,86.16,91.2
2025-07-27 14:25:00,91.68,88.56
2025-07-27 14:30:00,86.64,88.68
2025-07-27 14:35:00,88.32,87.12
2025-07-27 14:40:00,85.8,90.84
2025-07-27 14:45:00,87.24,86.16
2025-07-27 14:50:00,84.6,86.76
2025-07-27 14:55:00,88.08,92.64
2025-07-27 15:00:00,86.28,85.8
2025-07-27 15:05:00,83.4,92.04
2025-07-27 15:10:00,88.44,89.16
2025-07-27 15:15:00,84.6,89.88
2025-07-27 15:20:00,90.12,86.04
2025-07-27 15:25:00,85.08,90.72
2025-07-27 15:30:00,87.48,88.8
